Borough,PUMA,District,Total population,Children,Adults,Kids in School,Population 25 years and over,No HS diploma,No HS diploma percentage
Bronx,3710,"1, 2",154642,45072,109570,25780,87525,39612,45.3
Bronx,3705,"3, 6",165832,51809,114023,29056,90256,36835,40.8
Bronx,3708,4,141066,41292,99774,23509,83924,32859,39.2
Bronx,3707,5,133019,38665,94354,21288,77752,28523,36.7
Bronx,3706,7,122523,32687,89836,17795,75540,24115,31.9
Bronx,3701,8,105862,20789,85073,11298,72924,12945,17.8
Bronx,3709,9,184729,47545,137184,25714,117276,35815,30.5
Bronx,3703,10,118934,22956,95978,13312,84722,14964,17.7
Bronx,3704,11,127082,29646,97436,17154,85310,21234,24.9
Bronx,3702,12,143668,37671,105997,21154,90184,18494,20.5
Brooklyn,4001,1,146819,32226,114593,17529,99015,18472,18.7
Brooklyn,4004,2,125540,20840,104700,11470,90287,11099,12.3
Brooklyn,4003,3,135519,36331,99188,20696,83911,20426,24.3
Brooklyn,4002,4,140541,33932,106609,19293,87095,35631,40.9
Brooklyn,4008,5,150005,42541,107464,23722,88498,21084,23.8
Brooklyn,4005,6,113890,21420,92470,11921,85040,7419,8.7
Brooklyn,4012,7,148990,34830,114160,19013,97446,40808,41.9
Brooklyn,4006,8,122114,25374,96740,14038,85146,16245,19.1
Brooklyn,4011,9,112219,27102,85117,15685,72494,14287,19.7
Brooklyn,4013,10,133646,28530,105116,14589,94618,19982,21.1
Brooklyn,4017,11,178514,34891,143623,19349,128039,36450,28.5
Brooklyn,4014,12,164816,57295,107521,32202,90218,22446,24.9
Brooklyn,4018,13,102552,17823,84729,9126,76185,13244,17.4
Brooklyn,4015,14,157250,39554,117696,21620,100750,17511,17.4
Brooklyn,4016,15,142182,28959,113223,16109,100941,13687,13.6
Brooklyn,4007,16,122114,37340,84774,21248,70677,19358,27.4
Brooklyn,4010,17,137217,31454,105763,17155,91985,14944,16.2
Brooklyn,4009,18,204601,48317,156284,27316,134318,17591,13.1
Manhattan,3810,"1, 2",147537,16822,130715,9709,114218,5191,4.5
Manhattan,3809,3,164326,22147,142179,12729,121745,33012,27.1
Manhattan,3807,"4, 5",139353,11578,127775,5919,113830,7286,6.4
Manhattan,3808,6,145306,11364,133942,6676,113751,3629,3.2
Manhattan,3806,7,196844,31299,165545,17187,155575,8920,5.7
Manhattan,3805,8,217025,30175,186850,17864,174351,5810,3.3
Manhattan,3802,9,133012,21931,111081,12338,87909,18388,20.9
Manhattan,3803,10,130573,28863,101710,17289,87064,18108,20.8
Manhattan,3804,11,120814,25576,95238,13525,79445,22157,27.9
Manhattan,3801,12,209617,37698,171919,19529,146462,46136,31.5
Queens,4101,1,167766,26324,141442,14525,123361,22903,18.6
Queens,4109,2,131775,22964,108811,12416,96981,18939,19.5
Queens,4102,3,178156,37135,141021,20292,121515,37649,31.0
Queens,4107,4,139066,28389,110677,15390,96557,30797,31.9
Queens,4110,5,171490,37756,133734,20596,118486,23562,19.9
Queens,4108,6,114803,20170,94633,11600,88631,6896,7.8
Queens,4103,7,251741,43938,207803,24307,186026,38891,20.9
Queens,4106,8,147652,30744,116908,17512,101390,13705,13.5
Queens,4111,9,146761,34010,112751,17722,96985,21559,22.2
Queens,4113,10,134902,28489,106413,16070,91865,19897,21.7
Queens,4104,11,121012,23662,97350,13385,89086,10191,11.4
Queens,4112,12,227117,55000,172117,31394,149045,32005,21.5
Queens,4105,13,201899,42053,159846,23299,139200,19136,13.7
Queens,4114,14,120610,33317,87293,19904,75409,17199,22.8
Staten Island,3903,1,175833,44929,130904,24684,111315,17789,16.0
Staten Island,3902,2,129006,25889,103117,14648,92120,10425,11.3
Staten Island,3901,3,165563,36929,128634,21093,114584,10061,8.8
