Borough,PUMA,District,Total population,Male,Female,Children,Adults,Seniors,Gradparents responsible for children,Population 3 years and over enrolled in school,"Nursery school, preschool",Kindergarten,Elementary school (grades 1-8),High school (grades 9-12),Kids in School,Kids not in school,College or graduate school,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",Without HS diploma,Without HS diploma percentage,High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,English only,Language other than English,Non Fluent in English,Non Fluent in English Percentage
Bronx,3710,"1, 2",154642,76282,78360,45072,109570,12489,1694,45604,2790,3168,19822,10958,25780,19824,8866,87525,19570,20042,39612,45.3,23553,12580,4598,5387,1795,46758,94457,51393,33.2
Bronx,3705,"3, 6",165832,75376,90456,51809,114023,12130,2320,54837,2976,3113,22967,13028,29056,25781,12753,90256,18661,18174,36835,40.8,24044,15455,5145,6483,2294,54479,96463,43115,26.0
Bronx,3708,4,141066,67319,73747,41292,99774,12768,1784,42832,2207,2268,19034,10135,23509,19323,9188,83924,17526,15333,32859,39.2,22201,13983,5166,6636,3079,40257,89510,45465,32.2
Bronx,3707,5,133019,62505,70514,38665,94354,8881,1850,39823,2308,2106,16874,9745,21288,18535,8790,77752,15303,13220,28523,36.7,23012,12559,5349,5484,2825,36297,85639,42428,31.9
Bronx,3706,7,122523,57306,65217,32687,89836,10845,1392,32467,1804,1478,14513,6951,17795,14672,7721,75540,12085,12030,24115,31.9,21573,13345,4129,8840,3538,34313,77689,36316,29.6
Bronx,3701,8,105862,49889,55973,20789,85073,16933,586,26998,1715,1042,8541,5445,11298,15700,10255,72924,6615,6330,12945,17.8,15737,12504,4676,13428,13634,46497,53041,21216,20.0
Bronx,3709,9,184729,87469,97260,47545,137184,19663,1293,50353,2358,2785,20571,11537,25714,24639,13102,117276,17505,18310,35815,30.5,32813,20568,8874,14271,4935,72065,98457,42304,22.9
Bronx,3703,10,118934,55588,63346,22956,95978,22591,851,29147,1281,1435,10596,5709,13312,15835,10126,84722,6465,8499,14964,17.7,26175,17697,6052,12466,7368,70604,42686,11940,10.0
Bronx,3704,11,127082,60703,66379,29646,97436,17474,896,34214,2043,1267,13844,7035,17154,17060,10025,85310,10595,10639,21234,24.9,24176,13684,6402,12443,7371,52328,66691,26505,20.9
Bronx,3702,12,143668,64504,79164,37671,105997,16253,2207,43142,2549,1834,16771,10127,21154,21988,11861,90184,8403,10091,18494,20.5,27590,16163,8269,13395,6273,97585,35966,11802,8.2
Brooklyn,4001,1,146819,72199,74620,32226,114593,12414,735,34762,2752,2062,12715,6824,17529,17233,10409,99015,9331,9141,18472,18.7,19498,15646,5111,26376,13912,57245,78102,33491,22.8
Brooklyn,4004,2,125540,60783,64757,20840,104700,12696,809,29165,2016,1400,8054,3567,11470,17695,14128,90287,4997,6102,11099,12.3,12355,11632,3484,26794,24923,82318,35276,11470,9.1
Brooklyn,4003,3,135519,62742,72777,36331,99188,12016,1562,39438,3127,2258,15311,8422,20696,18742,10320,83911,7562,12864,20426,24.3,23720,15231,5190,12429,6915,85679,37858,15389,11.4
Brooklyn,4002,4,140541,69307,71234,33932,106609,10558,2268,37815,1854,2406,15033,7933,19293,18522,10589,87095,22133,13498,35631,40.9,21014,10829,4090,11125,4406,44678,85906,48801,34.7
